;Query;Tweet;Username;Date;Hashtags;Likes;Retweets;URL
0;['obama'];Now do Reagan through Obama. ;J_Dubya80;Thu Dec 17 14:01:56 +0000 2020;['No Hashtags'];0;0;['https://t.co/QEd7LnMW3E']
1;['obama'];      Why would Trump trust Obama’s pandemic team when literally every Obama loyalist in government was undermining him.;FightandDebate;Thu Dec 17 13:53:28 +0000 2020;['No Hashtags'];0;0;[]
2;['obama'];But Obama wore a tan suit? ;ssurovell;Thu Dec 17 13:53:57 +0000 2020;['No Hashtags'];52;7;['https://t.co/wr6XbZvQXt']
3;['obama'];"  Corona virus vaccine research was started and stopped under G Bush. Started again under Obama with vigor. Stopped under Trump but restarted late.

Thanks mostly to B Obama for laying the groundwork for this. Trump spent more time arguing against masks.";EntropyJimJohn;Thu Dec 17 14:14:07 +0000 2020;['No Hashtags'];0;0;[]
4;['obama'];GOP congressman who once shouted ‘you lie’ during Obama address tests positive for Covid ;thomaskaine5;Thu Dec 17 14:12:41 +0000 2020;['No Hashtags'];85;27;['https://t.co/2HVGDpakUR']
5;['obama'];GOP congressman who once shouted ‘you lie’ during Obama address tests positive for Covid - ;santo_aol;Thu Dec 17 14:04:24 +0000 2020;['No Hashtags'];1;0;['https://t.co/u60Y6YhDQ3']
6;['obama'];     Biden worked as VP under Obama and handled H1N1 pandemic, only 12000 ppl died during the entire pandemic. Of course, Trump criticized Obama that the deaths were too many, that he did a poor job. Now under his covid pandemic, over 308,000 ppl have died in 9 months and counting.;Cece57938158;Thu Dec 17 14:21:17 +0000 2020;['No Hashtags'];0;0;[]
7;['obama'];Has Obama taken the vaccine? I’ll take it if Barry takes it 😌;Chels_Ayyeee;Thu Dec 17 14:19:23 +0000 2020;['No Hashtags'];0;0;[]
8;['obama'];   Was just looking to see whether Obama pardoned him for that cough drop so I could write the same thing if he hadn't;Playerinthgame;Thu Dec 17 14:32:36 +0000 2020;['No Hashtags'];2;0;[]
9;['pfizer']; No such concerns for the Pfizer vaccine. ;JohnMullahy;Thu Dec 17 14:13:54 +0000 2020;['No Hashtags'];12;0;['https://t.co/AdQaQSyKef']
10;['pfizer']; Can Pfizer get on with a vaccine for that please?;MarkH_Photo;Thu Dec 17 14:27:21 +0000 2020;['No Hashtags'];5;0;[]
11;['pfizer'];"Pfizer CEO won't take his own vaccine...😂😂🤷‍♂️🤷‍♂️

";ToolSalesJeff;Thu Dec 17 13:51:31 +0000 2020;['No Hashtags'];0;0;['https://t.co/NWEhHiT97u']
12;['pfizer']; From Pfizer absolutely not in waiting for a different option Pfizer’s track record is appalling and I remember the African kids they killed with their last rushed vaccine;Ravenstarwynd;Thu Dec 17 14:29:07 +0000 2020;['No Hashtags'];1;0;[]
13;['pfizer'];"the Pfizer mRNA vaccine is derived from fetal stem cells.  Any of you pro-life hypocrites are prohibited from being vaccinated

#Pfizer #Pfizervaccine #CoronaVaccine #CovidVaccines";SeventhSon6;Thu Dec 17 14:20:54 +0000 2020;['Pfizer', 'Pfizervaccine', 'CoronaVaccine', 'CovidVaccines'];0;0;[]
14;['pfizer'];  That stuff has more side-effects than the Pfizer vaccine.;nicomp;Thu Dec 17 14:38:49 +0000 2020;['No Hashtags'];1;0;[]
15;['pfizer'];What’s in Pfizer’s vaccine? A look at the ingredients - National |  ;mikemacgill77;Thu Dec 17 14:37:04 +0000 2020;['No Hashtags'];0;0;['https://t.co/CDtjpEVY6Y', 'https://t.co/IIu606azOv']
16;['pfizer'];Per article, the feds are blaming Pfizer for decreased vaccine, Pfizer claims they are sending agreed upon amount. Where is extra vaccine going? ;Luaalei;Thu Dec 17 14:33:25 +0000 2020;['No Hashtags'];0;0;['https://t.co/ZhYvL1j8Up']
17;['pfizer'];"This is why Pfizer can't provide more Covid-19 vaccines faster
";helenyg;Thu Dec 17 14:29:21 +0000 2020;['No Hashtags'];0;0;['https://t.co/Y9rzLqEDiR']
18;['trump'];   Credit ..OK ...I will have a go ..Trump plague .. Trump virus .Trump disease.... Trump COVID... Trump Superspreader;ATheraspberry;Thu Dec 17 14:35:31 +0000 2020;['No Hashtags'];0;0;[]
19;['trump']; Trump had fake COVID or the Trump Virus.;CurtisReece10;Thu Dec 17 14:31:47 +0000 2020;['No Hashtags'];0;0;[]
20;['trump'];Do you think Trump is a Bully ?Are you proud of Trumps Tweets ?  Did Trump set a good example for Americans to wear a mask ?  Are you Thankful for Trump being a Womanizer? ;scrowson2;Thu Dec 17 14:18:43 +0000 2020;['No Hashtags'];0;0;['https://t.co/tz83gcHSA0']
21;['trump'];thats what trump gets ;Awes_meWasTaken;Thu Dec 17 14:32:30 +0000 2020;['No Hashtags'];0;0;['https://t.co/68ZhU0q1fe']
22;['trump'];"   It’s Trump’s fault

";HorizonUnltd;Thu Dec 17 14:30:18 +0000 2020;['No Hashtags'];0;0;['https://t.co/j0Ckc9GEQn']
23;['trump']; The TRUMP Vaccine!!!;transpo01;Thu Dec 17 14:30:18 +0000 2020;['No Hashtags'];0;0;[]
24;['trump'];So did we that's why Trump Lost ;bynsny;Thu Dec 17 14:30:00 +0000 2020;['No Hashtags'];2;2;['https://t.co/MbPMxbSCRs']
25;['trump'];Right up there with Trumps ;nancy11603700;Thu Dec 17 14:25:00 +0000 2020;['No Hashtags'];0;0;['https://t.co/zOA3Y2Jeii']
26;['trump'];Trump Genocide ;ShariFreeWill;Thu Dec 17 14:23:46 +0000 2020;['No Hashtags'];1;0;['https://t.co/hCx0VlxqL5']
27;['moderna']; do you own stock in Moderna? ;FloridaNathan;Thu Dec 17 14:38:18 +0000 2020;['No Hashtags'];1;0;['https://t.co/O1sAZIo4EX']
28;['moderna'];Moderna Requests Vaccine Authorization ;lendershouston;Thu Dec 17 14:39:11 +0000 2020;['No Hashtags'];0;0;['https://t.co/07agOlAJBy']
29;['moderna']; you omitted fact that head of OWS Slaoui came from Moderna. Bias? Moderna has never brought a vaccine to market? ;DSMagicMonkey;Thu Dec 17 14:27:56 +0000 2020;['No Hashtags'];0;0;['https://t.co/ZtNBa2jwZP']
30;['moderna'];"MUST READ!! 🤜🤛👊
#COVID19Vaccine
#Moderna ";NrIsodera;Thu Dec 17 14:23:36 +0000 2020;['COVID19Vaccine', 'Moderna'];0;0;['https://t.co/5v8e2JgQmW']
31;['moderna'];Moderna vaccine looking very promising: ;JWStol;Thu Dec 17 14:15:08 +0000 2020;['No Hashtags'];0;0;['https://t.co/hbNg69mdRn']
32;['moderna'];Moderna has never had a vaccine come to market. Trump gave Moderna tons of money. Their trials consisted of a small amount of people. Convince me it is as safe as the others?;juneofla;Thu Dec 17 14:15:16 +0000 2020;['No Hashtags'];1;0;[]
33;['moderna'];"Key differences between the Moderna and Pfizer vaccines
";bleu_mule;Thu Dec 17 14:05:16 +0000 2020;['No Hashtags'];0;0;['https://t.co/YuKIUB0l6a']
34;['moderna'];"While they’re all dumping shares...🧐

PFIZER:


MODERNA:
 ";donottrustrobo1;Thu Dec 17 14:01:09 +0000 2020;['No Hashtags'];1;0;['https://t.co/BTO97RidHW', 'https://t.co/MvfdgbWBSb', 'https://t.co/D5B3MqbrZU']
35;['moderna'];Watch the FDA Review of the Moderna Vaccine:  ;Eric_Holdeman;Thu Dec 17 13:50:22 +0000 2020;['No Hashtags'];0;0;['https://t.co/P8mvbzVcy8']
36;['macron'];Macron ;VisBlije;Thu Dec 17 14:28:58 +0000 2020;['No Hashtags'];1;1;['https://t.co/5Ag6LmWvqL']
37;['macron'];Me @ macron  ;MinouZanza;Thu Dec 17 14:09:58 +0000 2020;['No Hashtags'];9;2;['https://t.co/bw2p8DeUKj', 'https://t.co/SGkPWDR0Jt']
38;['macron'];Macron ;MARCHUMBERT12;Thu Dec 17 13:49:54 +0000 2020;['No Hashtags'];2;2;['https://t.co/9shjPvyTB9']
39;['macron'];Macron ;MARCHUMBERT12;Thu Dec 17 13:49:39 +0000 2020;['No Hashtags'];0;0;['https://t.co/ZBmykGm2j2']
40;['macron'];Emmanuel Macron, President of France, tests positive for COVID-19 - Macron #Macron -  ;SquirgeC;Thu Dec 17 13:49:47 +0000 2020;['Macron'];0;0;['https://t.co/80IioraPkA']
41;['macron'];Macron, Macron, how sad: you'll soon be gone. ;breckenthang;Thu Dec 17 14:27:25 +0000 2020;['No Hashtags'];0;0;['https://t.co/HsV0RPo3A1']
42;['macron'];"Macron a le covid...😂
#Macron #Covid_19 ";MatMonde_;Thu Dec 17 14:25:02 +0000 2020;['Macron', 'Covid_19'];16;1;['https://t.co/4g4vg6jSsl']
43;['macron']; Covid to Macron: ;HumanTrampolin;Thu Dec 17 13:50:29 +0000 2020;['No Hashtags'];1;0;['https://t.co/0q1CzpchAF']
44;['macron'];Macron has Covid.;JakeLeslie23700;Thu Dec 17 14:36:39 +0000 2020;['No Hashtags'];0;0;[]
45;['germani']; did you register for the vaccine in germany;afchilles;Thu Dec 17 14:20:08 +0000 2020;['No Hashtags'];1;0;[]
46;['germani'];" How great is Germany doing not on island?

";CWar12;Thu Dec 17 13:55:38 +0000 2020;['No Hashtags'];0;0;['https://t.co/An2L05DdcJ']
47;['germani'];   No. There was no pandemic in Germany during the 1940s.;GoingGandhi;Thu Dec 17 13:49:11 +0000 2020;['No Hashtags'];0;0;[]
48;['germani'];[BUSINESS] Germany to raise record 471 bn euros in pandemic debt: Frankfurt am Main, Germany, Dec 17 - Germany said Thursday it will issue up to 471 billion euros ($576 billion) worth of bonds in 2021, a record.. ;News_Kenya;Thu Dec 17 13:54:09 +0000 2020;['No Hashtags'];0;0;['https://t.co/8HmwHiPmIw']
49;['germani'];Germany and the Netherlands shut down the schools. This says it all. ;Heaudrais;Thu Dec 17 13:59:59 +0000 2020;['No Hashtags'];1;1;['https://t.co/8o8xiOUwdq']
50;['germani'];THOUSANDS IN GERMANY PROTEST THE LOCKDOWN AND RESTRICTIONS 🇩🇪 ;rara_apa4;Thu Dec 17 13:48:21 +0000 2020;['No Hashtags'];0;0;['https://t.co/G3pLA6XB8n']
51;['germani'];   The vaccine research was funded by Germany. The US only essentially paid for 'dibs' for when it did exist. Thank Germany, not Trump. Pfizer declined the money Trump offered.;JustinMLeach;Thu Dec 17 14:27:41 +0000 2020;['No Hashtags'];0;0;[]
52;['germani'];"  Hmmm, the vaccine is currently produced in Belgium, Germany &amp; US. It has been developped in Germany &amp; the whole process is a Resultat of a American/German partnership.

BrexitClown...";SpeicherRalf;Thu Dec 17 13:52:15 +0000 2020;['No Hashtags'];0;0;[]
53;['germani'];Coronavirus Scandal Breaking in Merkel’s Germany  via ;adrianxleconte;Thu Dec 17 14:13:50 +0000 2020;['No Hashtags'];3;2;['https://t.co/cF0Ftc02Qb']
54;['spain']; The lockdown in Spain was extremely strict. In Spain masks must be worn inside and outdoors. Despite this cases in Spain skyrocketed throughout October. Mandatory social distancing/mask wearing does not work. Boris's arbitrary coronavirus restrictions will achieve nothing.;jeremy_hume;Thu Dec 17 14:37:46 +0000 2020;['No Hashtags'];0;0;[]
55;['spain'];  The lockdown in Spain was extremely strict. In Spain masks are mandatory inside and outdoors. Despite this cases in Spain rose sharply throughout October. Mandatory distancing/mask wearing does not work. Boris's tyrannical coronavirus restrictions will achieve nothing.;jeremy_hume;Thu Dec 17 14:15:17 +0000 2020;['No Hashtags'];0;0;[]
56;['spain'];Spain's PM Pedro sanchez to quarantine until Dec 24 after having lunch on Monday with French President Macron who tested positive for Covid-19. #Spain🇪🇸 #France🇫🇷 #COVID19 ;Based_Portugal;Thu Dec 17 14:08:57 +0000 2020;['Spain', 'France', 'COVID19'];1;0;['https://t.co/T1NMmMXSit']
57;['spain'];This is lockdown summed up: I’m living in Spain but the the S is silent :);AndreAyewSZN;Thu Dec 17 14:24:34 +0000 2020;['No Hashtags'];0;0;[]
58;['spain'];So will Spain also have the vaccine available on December 27? ;MajorcaDaily;Thu Dec 17 14:01:10 +0000 2020;['No Hashtags'];0;0;['https://t.co/eDOZGTCz1C']
59;['spain'];" Here is some data from Spain that shows that many of the assumptions we make are wrong.

";ssbawa;Thu Dec 17 14:34:01 +0000 2020;['No Hashtags'];0;0;['https://t.co/MVYV0lEJx2']
60;['spain'];Macron takes out Spain and Portuguese leaders with Covid. Is this a portent?;JonPark73442275;Thu Dec 17 14:29:08 +0000 2020;['No Hashtags'];0;0;[]
61;['spain']; Look at Spain. Their lockdown was very strict. In Spain masks must be worn both indoors and outdoors. Despite this Spanish cases skyrocketed in October. Mandatory distancing/mask wearing does not work. Boris Johnson's coronavirus restrictions will achieve absolutely nothing.;jeremy_hume;Thu Dec 17 14:37:01 +0000 2020;['No Hashtags'];0;0;[]
62;['spain'];Spain worries about Christmas as cases rise again - The Star Online: MADRID (Reuters) - Health authorities in Spain are worried about an uptick in coronavirus cases following a string of recent bank holidays and the relaxing of measures by some regions,…  ;globalfirstnews;Thu Dec 17 14:17:38 +0000 2020;['No Hashtags'];0;0;['https://t.co/fry23SIald', 'https://t.co/RXFzLL7KcG']
63;['restaur'];But restaurants?? #Tyranny ;Mia_patriot2A;Thu Dec 17 14:25:01 +0000 2020;['Tyranny'];1;0;['https://t.co/C4e9lkkpQq']
64;['restaur']; No connection to restaurants Jay. ;FredricoPena;Thu Dec 17 14:20:46 +0000 2020;['No Hashtags'];0;0;['https://t.co/E2vlUkuOr4']
65;['restaur'];Today’s episode features Jesson Gil, owner of famed Asheville restaurant  We talk to Jesson about his history in the restaurant industry, the evolution of Early Girl, and how a positive COVID case forced them to temporarily shut down their restaurant. Link in bio. ;NCFBPOD;Thu Dec 17 13:48:20 +0000 2020;['No Hashtags'];1;0;['https://t.co/qfBFbrxxqv']
66;['restaur']; Dining in restaurants is not safe at this time. ;TSubtext;Thu Dec 17 14:38:36 +0000 2020;['No Hashtags'];1;0;['https://t.co/FtWDCNqX44']
67;['restaur'];"Yesterday I heard that restaurants in CA are ""responsible"" for less than 2% of any ""spread,"" and govt buildings count for 11-17%.
But restaurant are being shut down. ";achilles_rageof;Thu Dec 17 13:57:29 +0000 2020;['No Hashtags'];0;0;['https://t.co/OPZ9ioh8ku']
68;['restaur'];Actually sitting down in a restaurant to eat. ;MJDraperBlake;Thu Dec 17 13:52:08 +0000 2020;['No Hashtags'];2;0;['https://t.co/dqRHzZmyGx']
69;['restaur'];. is announcing the #MontcoStrong Restaurant Grant Program to help restaurants impacted by the #COVID19 restrictions. $10,000 grants will be available. ;kenlawrencejr;Thu Dec 17 14:15:37 +0000 2020;['MontcoStrong', 'COVID19'];38;11;['https://t.co/0TzU9Aqh7A']
70;['restaur'];"Here's another person, who claims masks and restaurant capacity restrictions mean the country is in lockdown. We should note that there are not lines out the door of 50% or 25% restaurants. Demand is not there!
";districtyoder;Thu Dec 17 14:08:24 +0000 2020;['No Hashtags'];3;1;['https://t.co/Ryb1ldxBa4']
71;['restaur'];" Listen ... The post only made reference to ""restaurants"" 
Those same restaurants that have tables that are spaced out with the proper Covid Protocols ... Then a general statement of business operations must close at 10pm 🤦🏾‍♂️";Signatur3;Thu Dec 17 14:14:19 +0000 2020;['No Hashtags'];0;0;[]
72;['economi'];They cared more about the economy than people... ;Humblejoe1208;Thu Dec 17 14:05:37 +0000 2020;['No Hashtags'];0;0;['https://t.co/L4Ysdqfvs1']
73;['economi']; ‘There will be no impact on the economy because of COVID’;bsvishy;Thu Dec 17 13:54:38 +0000 2020;['No Hashtags'];1;0;[]
